Timestamp = 0.0852849, Batch 161, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000477711
Timestamp = 0.0857578, Batch 162, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000475314
Timestamp = 0.0862307, Batch 163, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000474117
Timestamp = 0.0867116, Batch 164, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00047749
Timestamp = 0.0871792, Batch 165, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000472571
Timestamp = 0.0876482, Batch 166, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000470778
Timestamp = 0.0881209, Batch 167, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00047173
Timestamp = 0.0885913, Batch 168, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00047107
Timestamp = 0.0890664, Batch 169, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000473074
Timestamp = 0.0895427, Batch 170, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00047468
Timestamp = 0.090016, Batch 171, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000474022
Timestamp = 0.0904827, Batch 172, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000470344
Timestamp = 0.0909526, Batch 173, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000470111
Timestamp = 0.0914184, Batch 174, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000467956
Timestamp = 0.0918781, Batch 175, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000463845
